name,date,year,director,prod,composer,cast_mem
Virupaksha,April,2023.0,Karthik Varma Dandu,"Sri Venkateswara Cine Chitra, Sukumar Writings",B. Ajaneesh Loknath,"Sai Dharam Tej, Samyuktha Menon, Sunil, Rajeev Kanakala, Brahmaji, Ravi Krishna, Abhinav Gomatam, Kamal Kamaraju, Sai Chand, Ajay"
Shaakuntalam,April,2023.0,Gunasekhar,"Dil Raju Productions, Gunaa Teamworks, Sri Venkateswara Creations",Mani Sharma,"Samantha Ruth Prabhu, Dev Mohan, Mohan Babu, Aditi Balan, Ananya Nagalla, Gautami, Prakash Raj, Kabir Bedi, Madhoo, Jisshu Sengupta"
Meter,April,2023.0,Ramesh Kadhuri,"Clap Entertainment, Mythri Movie Makers",Sai Kartheek,"Krishna Murali Posani, Athulya Ravi, Kiran Abbavaram, Keshav Deepak, Sapthagiri, Pavan, Vinay Varma"
Ravanasura,April,2023.0,Sudheer Varma,"Abhishek Nama Pictures, MSK Films, RT Teamworks",Bheems Ceciroleo,"Ravi Teja, Jayaram, Sushanth, Hyper Aadi, Faria Abdullah, Megha Akash, Anand, Jahid D'cruz, Anu Emmanuel, Mohammad Zahed Hossain"
B&W,April,2023.0,Surya Prakash,"AU & I Studios, SR Arts",Ajay Arasada,"Hebah Patel, Surya Srinivas, Lahari Shari, Naveen Neni, Suresh Babu"
Vidyarthi,April,2023.0,Madhu Madasu,Mahas Creations,Vijay Bulganin,"Raghu Babu, Bunnyvox, Chethan Cheenu, Ali Khan, Jwala Koti, Manichandana, Naveen Neni, Yadhamma Raju, Tnr"
O Kala,April,2023.0,Deepak Kolipaka,"Aham Asmi Films, Eternity Entertainment",Neelesh Mandalapu,"Keshav Deepak, Roshni Sahota, Santhosh Singuru, Gourish Yeleti"
Sathi Thimmamamba,April,2023.0,Balagonda Anjineyulu,SSS Art Creations,,"Bhavya Sri, Gundu Hanumantha Rao, Vinod Kumar, Chandra Mohan, Rajendra Naidu, Naveen, P. Prabhakar, Ranganath, Junior Relangi, Suman Shetty"
Ugram,May,2023.0,Vijay Kanakamedala,Shine Screens,Sricharan Pakala,"Allari Naresh, Mirnaa, Manikanta Varanasi, Indraja, Sharath Lohitashwa, Koushik Mahata, Naga Mahesh, Ramesh Reddy, Sreenivasa Sayee, Shatru"
Mem Famous,May,2023.0,Sumanth Prabhas,"Chai Bisket, Lahari Films",Kalyan Nayak,"Sumanth Prabhas, Mani Aegurla, Mourya Chowdary, Saarya, Muralidhar Goud, Kiran Macha, Anji Mama, Siri Raasi, Narendra Ravi, Shivanandan"
Rama Banam,May,2023.0,Sriwass,People Media Factory,Mickey J. Meyer,"Gopichand, Dimple Hayathi, Jagapathi Babu, Khushbu Sundar, Nassar, Tarun Arora, Mohammad Ali, Darbha Appaji Ambarisha, Sachin Khedekar, Vennela Kishore"
The Story of a Beautiful Girl,May,2023.0,Ravi Prakash Bodapati,Gen'nexT Movies,Arviz,"Drishika Chander, Nihal Kodhaty, Madhunandan, Bhargava Poludasu"
Custody,May,2023.0,Venkat Prabhu,Srinivasaa Silver Screen,Ilaiyaraaja,"Naga Chaitanya Akkineni, Krithi Shetty, Arvind Swamy, Premgi Amaren, Darbha Appaji Ambarisha, Vennela Kishore, Priyamani, Sampath Raj, Ramki, R. Sarathkumar"
Boo,May,2023.0,A.L. Vijay,"Jio Studios, Sarvanth Ram Creations, Shri Shirdi Sai Movies",G.V. Prakash Kumar,"Rakul Preet Singh, Vishwak Sen, Nivetha Pethuraj, Manjima Mohan, Megha Akash, Reba Monica John, Vidyullekha Raman, Prudhvi Raj, Aayira"
MenToo,May,2023.0,"Srikanth G Reddy, K. Sudheer Kumar","Lantern Creative Works, Mythri Movie Makers",Elisha Praveen G,"Naresh Agastya, Riya Suman, Brahmaji, Harsha Chemudu, Priyanka Sharma, Sudharshan, Ashrita Vemuganti, Kaushik Ghantasala, Mourya Siddavaram, Karthik Adusumilli"
Music School,May,2023.0,Paparao Biyyala,Yamini Films,Ilaiyaraaja,"Shriya Saran, Sharman Joshi, Prakash Raj, Karthikeya Dev, Mona Ambegaonkar, Srikanth Iyengar, Suhasini Mulay, Benjamin Gilani, Shaan, Gracy Goswami"
Katha Venuka Katha,May,2023.0,E Krishna Chaithanya,"Dandamudi Box Office, Sri Sravanthi Movies",Shravan Bharadwaj,"Sunil, Raghu Babu, Keshav Deepak, Chatrapathi Sekhar, Srijita Ghosh, Satyam Rajesh, Viswant Duddumpudi, Madhunandan, Madhu Nandan, Jaya Prakash"
Malli Pelli,May,2023.0,M.S. Raju,Vijaya Krishna Movies,Aruldev,"Annapoorna, Sarath Babu, Mahaboob Basha, Bhadram, Jayasudha, Pavitra Lokesh, Ananya Nagalla, V.K. Naresh, Ravi Varma, Vanitha Vijayakumar"
Grey: The Spy Who Loved Me,May,2023.0,Raj Madiraju,Adwitiya Movies,Nagaraju Talluri,"Arvind Krishna, Roy Urvashi, Ali Reza, Raj Madiraju, Prathap Pothen, Siddharth Gollapudi"
Bhuvana Vijayam,May,2023.0,Yalamanda Charan,"Himalya Studio Mansions, Mirth Media",Sekhar Chandra,"Anant, Harsha Chemudu, Soniya Chowdary, Dhanraj, Viva Harsha, Snehal Kamath, Vennela Kishore, Satti Pandu, Pruthvi, Jabardast Raghava"
Nindu Chandamama,May,2023.0,Ganesh Srivastav,Ganesh Srivastav Productions,Srujan Shashanka,"Palak Gangele, Satish Saripalli, Priya Sreenivas, Ganesh Srivastav"
Yadgiri and Sons,May,2023.0,Bikshapati Raju Pandiri,Sri Venkateshwara Creative Works,Vijay Kurakula,"Anirudh, Jeeva, Rajeev Kanakala, Madhu Mani, Motilal, Nagaraj, Addanki Rohit, Yashaswini"
戰王征途,June,2023.0,Om Raut,"RKB Creative, Retrophiles, T-Series Films",Ankit Balhara,"Prabhas, Kriti Sanon, Saif Ali Khan, Devdutta Nage, Vatsal Sheth, Sunny Singh, Tejaswini Pandit, Siddhant Karnick, Sonal Chauhan, Krishna Kotian"
Chakravyuham: The Trap,June,2023.0,Chetkuri Madhusudhan,SAHASRA Creations.,Bharath Manchiraju,"Vivek Trivedi, Ajay, Bhargav, Divya Dicholkar, Baby Geethika, Shrikanth Iyyanngar, Sandhya Janak, Rajeev Kanakala, Gnaneswari Kandregula, Kireeti"
Samajavaragamana,June,2023.0,Ram Abbaraju,"AK Entertainments, Hasya Movies",Gopi Sundar,"Vennela Kishore, Sree Vishnu, V.K. Naresh, Reba Monica John, Srikanth Iyengar, Raghu Babu, Yashna Muthuluri, Keshav Deepak, Goparaju Ramana, Rajeev Kanakala"
Maya Petika,June,2023.0,Ramesh Raparthi,Just Ordinary Entertainment,Guna Balasubramanian,"Payal Rajput, Rajath Raghav, Viraj Ashwin, Simratt Kaur Randhawa, Himaja, Prudhvi Raj, Sunil, Syamla Are, Srinivas Reddy, Meghana Chowdary"
Narayana & Co,June,2023.0,Chinna Papisetty,"Papisetty Film Productions, Sukha Media",Suresh Bobblli,"Sudhakar Komakula, Aamani, Devi Prasad, Pooja Kiran, Jai Krishna, Arati Podi, Thotapalli Madhu, Shivakumar Ramachandravarapu, B. Yamini, Ali Reza"
Vimanam,June,2023.0,Siva Prasad Yanala,"Kiran Korrapati Creative Works, Zee Studios",Charan Arjun,"Meera Jasmine, Samuthirakani, Anasuya Bharadwaj, Motta Rajendran, Rahul Ramakrishna, Dhanraj, Satish Saripalli, Dhruvan, Sandhya Janak, Thotapalli Madhu"
Unstoppable,June,2023.0,Diamond Ratna Babu,AB2 Productions,Bheems Ceciroleo,"VJ Sunny, Sapthagiri, Aqsa Khan, Nakshatra, Krishna Murali Posani, Bitthiri Sathi, Pruthvi, Raja Ravindra, Chammak Chandra, Shakalaka Shankar"
Spy,June,2023.0,Garry Bh,Ed Entertainments,Vishal Chandrashekhar,"Nikhil Siddharth, Iswarya Menon, Aryan Rajesh, Abhinav Gomatam, Sanya Thakur, Tanikella Bharani, Rana Daggubati, Makrand Deshpande, Sachin Khedekar, Robert Laenen"
Nenu Student Sir!,June,2023.0,Rakesh Uppalapati,SV2 Entertainment,Mahati Swara Sagar,"Bellamkonda Ganesh Babu, Avantika Dasani, Samuthirakani, Gemini Suresh, Pramodini, Charandeep, Karthik Kevvu, Rathika Rose, Bhoopal, Chinni"
Ahimsa,June,2023.0,Teja,Anandi Art Creations,Ravindra Prasad Patnaik,"Abhiram Daggubati, Geetika Tiwari, Ananth Babu, Rajat Bedi, Bindu Chandramouli, Sameer Goswami, Ravi Kale, Kalpalatha, Kamal Kamaraju, Ramandeep Kaur"
Manucharitra,June,2023.0,Bharath Pedagani,Proddutur Talkies,Gopi Sundar,"Megha Akash, Harshitha, Srikanth Iyengar, Shiva Kandukuri, Garima Kaushal, Madhunandan, Pramodini, Devi Prasad, Bhupal Raju, Pragati Shrivatsav"
Bheemadevarapally Branchi,June,2023.0,Ramesh Cheppala,"M/s. AB Cinemass, Nihal Productions",Charan Arjun,"Aaradhya, Abhitha, Rajsekhar Aningi, Beeranna, Warangal Bhasha, Addanki Dayakar, Mohammad Feroz, Thati Geetha, Bathini Keerthi Latha Goud, Burra Srinivas Goud"
Anantha,June,2023.0,Madhu Babu,"Falling Sky Entertainment, Sri Nethra Creations",Ghantasala Viswanath,"Prashant Karthi, Rittika Chakraborty, Anish Kuruvilla, Ramesh K, Laya Biben, Srinivas J Gaddam, Anil Lingampally"
Pareshan,June,2023.0,Rupak Ronaldson,"Spirit Media, Waltair Productions",Yashwanth Nag,"Bunny Abiran, Raju Bedigela, Muralidhar Goud, Pavani Karanam, Sai Prasanna Kondra, Arjun Krishna, Prem, Buddarakhan Ravi, Shruti Rayan, Thiruveer"
Kanulu Therichinaa Kanulu Moosinaa,June,2023.0,Sandeep Reddi KT,Flying Eagle Entertainments,,"Sai Ronak, Devika Satheesh, Suchitra Anandan, Abhilash Bandari, Bunty Dwaraka, Anish Kuruvilla, Sanjay Reddy, Usha Shree"
Sri Krishna Devaraya,June,2023.0,M S Venkateshwra Prasad,Gouthami Entertainments,Vidya Sagar,"Latha, Rajendra Naidu, Rajashekaran Pilli, Ramakrishna, Roopa Reddy"
Addateegala,June,2023.0,Gadhiraju Rama Raju,Sri Srunkhala Devi Productions,,"Dora Babu, Arjun Kalyan, Vasnthi Krishnan, Vinay"
Baby,July,2023.0,Sai Rajesh Neelam,Mass Movie Makers,Vijay Bulganin,"Anand Deverakonda, Vaishnavi Chaitanya, Viraj Ashwin, Kirrak Seetha, Kusuma Degalamarri, Nagendra Babu, Lirisha, Harsha Chemudu, Sathvik Anand Bandela, Saikumar Babloo"
Aneethi,July,2023.0,Vasanthabalan,Urban Boyz Studios,G.V. Prakash Kumar,"Bharani, Suresh Chakravarthi, Arjun Chidambaram, Arjun Das, Shanta Dhananjayan, Arvind Kathare, Jsk Satish Kumar, Bava Lakshmanan, Aranthangi Nisha, Pugazh"
Rangabali,July,2023.0,Pawan Basamsetti,Sri Lakshmi Venkateswara Cinema,Pawan Ch,"Kalyani Natarajan, R. Sarathkumar, Murli Sharma, Nia Sharma, Yukti Thareja, Shine Tom Chacko, Satya, Subhalekha Sudhakar, Naga Shaurya, Rajkumar Kasireddy"
Hidimbha,July,2023.0,Aneel Kanneganti,"AK Entertainments, Oak Entertainments, SVK Cinema",Vikas Badisha,"Ashwin Babu, Nandita Shwetha, Sahithi Avancha, Vikas Badisha, Makrand Deshpande, Rajeev Kanakala, Ayansh Kanneganti, Raghu Kunche, Deepti Nallamothu, Rajeev Pillai"
Her Chapter 1,July,2023.0,Sreedhar Swaraghav,Double Up Media,Pavan,"Ruhani Sharma, Jeevan Kumar, Pradeep Rudra, Vikas Vasishta, Vinod Varma, Sanjay Swaroop, Ravi Varma, Ravi Prakash, Banerjee, Abhignya Vuthaluru"
Rudrangi,July,2023.0,Ajay Samrat,Rasamayi Films,Nawfal Raja Asi,"Jagapathi Babu, Ashish Gandhi, Ganavi Laxman, Mamta Mohandas, R.S. Nanda, Vimala Raman, Sadanandham, Charishma Sreekar, Divi Vadthya, Naveena Reddy"
O Saathiya,July,2023.0,Divya Bhavna,Thanvika Jashwika Creations,Vinod Kumar Vinnu,"Aryan Gowra, Mishti Chakravarty, Kalpalatha, Annapurnamma, Darbha Appaji Ambarisha, Amrutham Appaji, Bullet Bhaskar, Chaitanya Garikipati, Krazy Khanna, Mirchi Kiran"
Bro,July,2023.0,Samuthirakani,"People Media Factory, Zee Studios",S. Thaman,"Priya Prakash Varrier, Ketika Sharma, Vennela Kishore, Samuthirakani, Urvashi Rautela, Rohini, Pawan Kalyan, Brahmanandam, Yuvalakshmi, Sai Dharam Tej"
7:11 PM,July,2023.0,Chaitu Madala,Arcus Films,Gyaani,"Saahas Pagadala, Tess Walsh, Deepika, Bharath Reddy, Raghu Kumar Karumanchi, Clay Antonio, Louie Athanasiou, Hemant k Bhatnagar, Marina Bi, Suresh Chinamuthevi"
Circle,July,2023.0,Neelakanta,Aura Productions,Ns Prasu,"Sai Ronak, Richa Panai, Arshin Mehta, Baba Bhaskar, Aakanksha, Snehal Kamath, Suresh Mohan, Parthav Sathya"
Lily,July,2023.0,Sivam,"Gopuram Films, Gopuram Studios",,"Neha K, Rajveer, Master Vedanth Varma, Baby Pranitha Reddy, Siva Krishna, Rajeev Pillai, Master Ayaan"
Slum Dog Husband,July,2023.0,A.R. Sreedhar,Mic Movies,Bheems Ceciroleo,"Mohammad Ali, Ameena, Balaraju, Balu, Brahmaji, Chammak Chandra, Swetha Chowdary, Priyanka Dasari, Muralidhar Goud, Siddharth Jagilama"
Bhaag Saale,July,2023.0,Praneeth Bramandapally,"Vedaansh Creative Works, Big Ben Cinemas, CineValley Movies",Kaala Bhairava,"Sri Simha Koduri, Neha Solanki, Rajeev Kanakala, Satya, John Vijay, Harsha Chemudu, R.J. Hemant, Nandini Rai, Sudharshan, Varshini Sounderajan"
Detective Karthik,July,2023.0,Venkat Narendra,"One Media Et, Reading Lamp Creations",Marcus M,"Rajath Raghav, Abhilash Bandari, Shruthi Mol, Anusha Nuthula, Akhil Kumar Atukuru, Madee, Kamala Manohari, Goldie Nissy, Hasini Rai, Yesho Bharath Reddy"
Annapurna Photo Studio,July,2023.0,Chandu Muddu,"Big Ben Cinemas, Big Ben Cinemas",Prince Henry,"Chaitanya Madadi, Ramana, Inturi Vasu, Lavannya Sahukara, Viva Raghav, Uttara Reddy, Yash Rangineni, Mihirah Gurupadappa, Krishna Mohan, Lalith Adithya"
Bharateeyans,July,2023.0,Deena Raj,Bharat American Creations,Satya Kashyap,"Shankar Naidu Adusumilli, Sonam Thendup Barphungpa, Rajeswari Chakraborty, Subha Ranjan Mukherjee, Peden Ongmu Namgyal, Suyash Pachauri, Nirroze Putcha, Samaira Sandhu"
Nireekshana,July,2023.0,Vamsee Krishna Malla,Take Ok Creations,,"Ena Saha, Sai Ronak, Shraddha Das, Brahmaji, Ajay Ghosh, Viva Harsha, Madhunandan, Jithan Ramesh"
Mahishasurudu,July,2023.0,Ravikumar Gonugunta,Sri Sivarama Arts,Saketh Sairam,"Dhanujayaprasad, Dornalaharibabu, Ravikumar Gonugunta, S. Guruprasad, Richa Kalra, Likhita, Dharani Reddy, Murali Krishna Reddy, Naveenraj Sankarapu, Spandanachowdary"
Kushi,September,2023.0,Shiva Nirvana,Mythri Movie Makers,Hesham Abdul Wahab,"Samantha Ruth Prabhu, Vijay Deverakonda, Jayaram, Vennela Kishore, Mohammad Ali, Murli Sharma, Rohini, Saranya Ponvannan, Lakshmi, Srikanth Iyengar"
Bholaa Shankar,August,2023.0,Meher Ramesh,"AK Entertainments, Creative Commercials",Mahati Swara Sagar,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu, Sushanth, Tarun Arora, Murli Sharma, Tulasi, Sreemukhi, P. Ravi Shankar"
Bedurulanka 2012,August,2023.0,Clax,Loukya Entertainment,Mani Sharma,"Kartikeya Gummakonda, Neha Shetty, Ajay Ghosh, Satya, Srikanth Iyengar, L.B. Sriram, Goparaju Ramana, Jabardasth Ram Prasad, Rajkumar Kasireddy, Surabhi Prabhavathi"
Gandeevadhari Arjuna,August,2023.0,Praveen Sattaru,"Cloud9 Studio, Film the Agency, Sri Venkateswara Cine Chitra",Mickey J. Meyer,"Lavanya Tripathi, Nassar, Varun Tej, Vinay Rai, Lee Nicholas Harris, Narain, Sakshi Vaidya, Andrew Rolfe, Barnabás Réti, Jamie Langlands"
Mr. Pregnant,August,2023.0,Srinivas Vinjanampati,Mic Movies,Shravan Bharadwaj,"Aadish, Ali, Mohammad Ali, Ananth Babu, Abhishek Reddy Bobbala, Brahmaji, Harsha Chemudu, Kalpana, Roopa Kodayur, Roopa Koduvayur"
Miss. Shetty Mr. Polishetty,September,2023.0,Mahesh Babu P.,UV Creations,Radhan,"Anushka Shetty, Naveen Polishetty, Jayasudha, Nassar, Murli Sharma, Tulasi, Colin Blyth, Debanjan Chatterjee, Keshav Deepak, Abhinav Gomatam"
Mistake,August,2023.0,Bharrath Komalapati,ASP Media house,Mani Zenna,"Abhinav Sardhar, Ajay Kumar Kathurvar, Teja Ainampudi, Sujith Kumar, Karishma Kumar, Taniya Kalrra, Priya Paul, Sameer, Raja Ravindra"
Jilebi,July,2024.0,Vijay K. Bhaskar,"Anju Asrani Kreations, SRK Arts, Vijaya Bhaskar Kraft",Mani Sharma,"Sree Kamal, Murli Sharma, Rajendra Prasad, Ankith Koyya, Getup Srinu, Shivani Rajashekar, Saikumar Babloo, Bamchik Babloo"
Nene Naa,August,2023.0,Caarthick Raju,Apple Tree Studios,Sam C.S.,"Regina Cassandra, Akshara Gowda, V. Jayaprakash, Rachapudi Kaushik, Vennela Kishore, Ravi Raja, Thagubothu Ramesh, Jeeva Ravi"
Ustaad,August,2023.0,Phanideep,"Krishi Entertainments, Sai Korrapati Production, Vaarahi Chalana Chitram",B. Akeeva,"Gautham Vasudev Menon, Sri Simha Koduri, Ravindra Vijay, Venkatesh Maha, Ravi Siva Teja, Kavya Kalyanram, Anu Hasan, Himank Duvvuru, Prajnay Konigari, Sai Kiran Yedida"
Hebbuli,August,2023.0,S Krishna,CMB Productions,,"Ravi Kale, Kaveri, Amala Paul, V. Ravichandran, P. Ravi Shankar, Kabir Duhan Singh, Sudeep"
Em Chesthunnav?,August,2023.0,Bharath Mithra,"NVR Creative Works, Sids Creative World",Gopi Sundar,"Vijay Raj Kumar, Neha Pathan, Amitha Ranganath, Rajeev Kanakala, Aamani, Kancharapalem Raju"
Madhilo Madhi,August,2023.0,Prakash Palla,Sklm Creations,Shahrukh Shaik,"Jai Nemukuri, Srinivas Rao, Siri Ravulachari, Yarraboni Sunitha, Sweety Swathi"
Dilse,August,2023.0,"Ravi Kumar Sabbani, Mankhal Veerendra, Shanthan Gadwal","Sai Ram Creations, Sri Chaitanya Creations",JD,"Medishetti Abhinav, Sasha Singh, Vismaya Sri, Lovely N Singh, Shiva Rama Krishna, Venkatesh Kakumanu, Mankhal Veerendra"
Rajugari Kodipulao,August,2023.0,Shiva Kona,"Anil Moduga Films, Kona Cinema",Pravin Mani,"Shiva Kona, P. Prabhakar, Neha Deshpande, Kunal Kaushik, Prachi Thaker, Ramya Dinesh, Abhilash Bandari, Jabardasth Naveen"
Prem Kumar,August,2023.0,Abhishek Maharshi,Sharanga Entertainments,Shyam Kasarla,"Krishna Chaitanya, Harsha Chemudu, Ajay Gadde, Nandini Gangadhara, Goutham, Hashmi, Jyothi, Sunny K, Ashok Kumar, Madhoo"
Seetha Balakrishna,August,2023.0,Radhika Kanukuntla,Rm Productions,Saikrishna Gandikota,"Mahesh Machidi, Radhika Kanukuntla, Pooja Nageshwar, Sri Kumari, Siri Chandana"
Skanda: The Attacker,September,2023.0,Boyapati Srinu,"Srinivasaa Silver Screen, Zee Studios",S. Thaman,"Ram Pothineni, Sreeleela, Saiee Manjrekar, Prince Cecil, Gautami, Indraja, Daggubati Raja, Meka Srikanth, Sharath Lohitashwa, Prithviraj"
Tantiram,October,2023.0,Muthyala Meher Deepak,Cinema Bandi,Ajay Arasada,"Avinash Yelandur, Srikanth Gurram, Sukanya Gadavir, Kalidindi, Dileep Kumar, Nani Kumar, Steffi Louise, Srinivasa Murthy, Shiva Prasad, Priyanka Sharma"
Varevva jathagaallu,September,2023.0,Satya Saladi,Om Shiva Dhatha Creations,Muddiga Santosh,"Bhaskar, Robert Louis, Vemi Mamathareddy, Posani Krishna Murali, Tejomurthula Muralidhar, Priyanka Polla, Boddhani Saipawan, Ravu Sri"
Changure Bangaru Raja,September,2023.0,Satish Varma,"Frame By Frame Pictures, RT Teamworks",Krishna Saurabh,"Ajay, Sunil, Satya, Ester Noronha, Kushita Kallapu, Ravi Babu, Rajsekhar Aningi, Raj Tirandasu, Sridhar Varma, Inturi Vasu"
Peddha Kapu 1,September,2023.0,Srikanth Addala,Dwaraka Creations,Mickey J. Meyer,"Srikanth Addala, Anuradha, Baby, Basheer, Anasuya Bharadwaj, Tanikella Bharani, Bhaskar, Charan, M.S. Chowdary, Harsha"
